layer,row,column,Reach,Stage,Conductanc,Bottom,,,,
1,6,188,431,793.890000,29943.760000,790.890000,,,,
1,2,188,431,793.890000,29943.760000,790.890000,,,,
1,1,188,431,793.000000,29943.760000,790.000000,,,,
1,5,189,431,793.890000,29943.760000,790.890000,,,,
1,4,189,431,793.000000,29943.760000,790.000000,,,,
1,1,189,431,793.000000,29943.760000,790.000000,,,,
1,5,190,431,793.890000,15383.250000,790.890000,,,,
1,1,190,431,793.890000,23075.070000,790.890000,,,,
1,5,167,431,805.540000,21676.020000,802.540000,,,,
1,6,189,431,793.890000,15386.240000,790.890000,,,,
1,13,76,432,1059.740000,17221.850000,1056.740000,,,,
1,7,93,433,997.980000,19184.010000,994.980000,,,,
1,7,94,433,991.820000,15241.130000,988.820000,,,,
1,26,107,433,950.310000,17877.260000,947.310000,,,,
1,34,204,434,751.740000,25903.300000,748.740000,,,,
1,26,208,434,801.370000,20024.620000,798.370000,,,,
1,46,217,434,739.570000,17950.310000,736.570000,,,,
1,44,217,434,736.490000,15354.890000,733.490000,,,,
1,43,217,434,736.490000,19778.100000,733.490000,,,,
1,47,218,434,737.240000,28000.910000,734.240000,,,,
1,44,218,434,736.490000,20358.230000,733.490000,,,,
1,41,219,434,734.550000,28089.140000,731.550000,,,,
1,40,219,434,739.600000,29888.720000,736.600000,,,,
1,39,219,434,739.600000,29943.760000,736.600000,,,,
1,38,219,434,739.600000,17725.320000,736.600000,,,,
1,47,221,434,738.000000,15259.530000,735.000000,,,,
1,27,149,435,896.230000,22443.500000,893.230000,,,,
1,30,150,435,898.380000,15659.290000,895.380000,,,,
1,33,154,435,887.000000,16045.330000,884.000000,,,,
1,39,167,435,769.780000,16272.390000,766.780000,,,,
1,37,167,435,769.780000,15175.360000,766.780000,,,,
1,35,167,435,769.780000,21376.070000,766.780000,,,,
1,34,167,435,769.780000,15823.410000,766.780000,,,,
1,47,168,435,801.000000,28012.870000,798.000000,,,,
1,56,170,435,825.910000,22038.300000,822.910000,,,,
1,55,170,435,822.840000,19166.760000,819.840000,,,,
1,42,174,435,768.000000,23988.960000,765.000000,,,,
1,41,174,435,769.000000,27515.600000,766.000000,,,,
1,36,174,435,768.000000,27788.650000,765.000000,,,,
1,42,175,435,769.000000,24480.560000,766.000000,,,,
1,41,175,435,769.780000,29943.760000,766.780000,,,,
1,40,175,435,769.780000,27737.440000,766.780000,,,,
1,86,81,436,899.760000,22794.050000,896.760000,,,,
1,86,82,436,899.590000,18126.700000,896.590000,,,,
1,82,85,436,908.620000,15792.290000,905.620000,,,,
1,63,91,436,942.230000,22347.530000,939.230000,,,,
1,62,91,436,944.690000,23372.190000,941.690000,,,,
1,91,92,436,881.050000,23030.920000,878.050000,,,,
1,64,92,436,946.040000,16439.960000,943.040000,,,,
1,63,92,436,945.000000,29301.150000,942.000000,,,,
1,89,94,436,877.000000,17828.270000,874.000000,,,,
1,91,97,436,879.760000,19694.620000,876.760000,,,,
1,90,105,436,878.630000,18298.250000,875.630000,,,,
1,23,126,436,913.070000,20527.950000,910.070000,,,,
1,34,141,436,878.410000,24916.890000,875.410000,,,,
1,34,144,436,892.300000,20326.880000,889.300000,,,,
1,34,145,436,897.610000,18737.950000,894.610000,,,,
1,84,148,437,836.000000,16507.720000,833.000000,,,,
1,77,151,437,801.940000,22898.300000,798.940000,,,,
1,75,151,437,806.250000,17981.590000,803.250000,,,,
1,81,152,437,815.440000,17766.110000,812.440000,,,,
1,80,152,437,804.510000,15987.760000,801.510000,,,,
1,79,152,437,801.940000,16854.740000,798.940000,,,,
1,78,152,437,801.940000,29537.100000,798.940000,,,,
1,77,152,437,801.940000,29943.680000,798.940000,,,,
1,76,152,437,801.000000,25107.380000,798.000000,,,,
1,75,152,437,801.940000,26636.360000,798.940000,,,,
1,66,152,437,801.940000,21582.890000,798.940000,,,,
1,81,153,437,808.610000,21022.760000,805.610000,,,,
1,80,153,437,804.510000,17478.570000,801.510000,,,,
1,78,153,437,801.940000,28496.110000,798.940000,,,,
1,77,153,437,801.940000,28336.280000,798.940000,,,,
1,76,153,437,801.000000,29926.820000,798.000000,,,,
1,75,153,437,800.000000,29943.760000,797.000000,,,,
1,74,153,437,801.940000,26304.590000,798.940000,,,,
1,67,153,437,801.940000,16300.830000,798.940000,,,,
1,66,153,437,801.940000,29878.980000,798.940000,,,,
1,64,153,437,801.000000,22233.080000,798.000000,,,,
1,80,154,437,808.610000,18405.340000,805.610000,,,,
1,75,154,437,801.000000,24243.920000,798.000000,,,,
1,74,154,437,801.000000,29943.760000,798.000000,,,,
1,73,154,437,801.000000,29943.760000,798.000000,,,,
1,72,154,437,801.940000,29943.760000,798.940000,,,,
1,71,154,437,801.940000,28981.030000,798.940000,,,,
1,70,154,437,801.940000,24099.270000,798.940000,,,,
1,69,154,437,801.940000,21172.550000,798.940000,,,,
1,68,154,437,801.940000,22241.970000,798.940000,,,,
1,67,154,437,801.940000,29943.760000,798.940000,,,,
1,74,155,437,801.940000,22174.290000,798.940000,,,,
1,73,155,437,799.000000,29943.760000,796.000000,,,,
1,72,155,437,799.000000,29943.760000,796.000000,,,,
1,71,155,437,799.000000,29943.760000,796.000000,,,,
1,70,155,437,801.000000,29943.760000,798.000000,,,,
1,69,155,437,800.000000,29943.760000,797.000000,,,,
1,68,155,437,801.000000,29943.760000,798.000000,,,,
1,67,155,437,801.000000,29943.760000,798.000000,,,,
1,65,155,437,801.940000,29924.520000,798.940000,,,,
1,73,156,437,798.000000,29797.730000,795.000000,,,,
1,72,156,437,798.000000,29943.760000,795.000000,,,,
1,71,156,437,796.000000,29943.760000,793.000000,,,,
1,70,156,437,796.000000,29943.760000,793.000000,,,,
1,69,156,437,799.000000,29943.760000,796.000000,,,,
1,68,156,437,801.000000,29943.760000,798.000000,,,,
1,64,156,437,800.000000,26342.000000,797.000000,,,,
1,73,157,437,801.940000,15822.030000,798.940000,,,,
1,72,157,437,800.000000,29412.150000,797.000000,,,,
1,71,157,437,796.000000,29943.760000,793.000000,,,,
1,70,157,437,797.000000,28581.040000,794.000000,,,,
1,69,157,437,799.000000,28076.650000,796.000000,,,,
1,68,157,437,801.000000,25162.570000,798.000000,,,,
1,67,157,437,801.000000,29943.760000,798.000000,,,,
1,66,157,437,799.000000,29943.760000,796.000000,,,,
1,63,157,437,801.940000,28532.060000,798.940000,,,,
1,62,157,437,801.940000,18736.800000,798.940000,,,,
1,61,157,437,801.940000,15630.470000,798.940000,,,,
1,60,157,437,801.940000,18481.460000,798.940000,,,,
1,66,158,437,798.000000,18037.080000,795.000000,,,,
1,65,158,437,797.000000,28847.350000,794.000000,,,,
1,59,159,437,801.940000,28096.880000,798.940000,,,,
1,58,159,437,801.940000,26819.030000,798.940000,,,,
1,55,159,437,801.940000,16923.660000,798.940000,,,,
1,77,163,437,859.750000,18080.550000,856.750000,,,,
1,96,108,438,862.500000,15389.080000,859.500000,,,,
1,93,110,438,855.810000,29943.830000,852.810000,,,,
1,92,110,438,855.740000,29943.760000,852.740000,,,,
1,91,110,438,855.150000,29943.760000,852.150000,,,,
1,93,111,438,855.810000,28012.950000,852.810000,,,,
1,92,111,438,855.810000,29943.830000,852.810000,,,,
1,91,111,438,855.000000,29943.760000,852.000000,,,,
1,90,111,438,855.000000,29943.760000,852.000000,,,,
1,91,112,438,854.830000,25619.520000,851.830000,,,,
1,90,112,438,854.340000,29824.480000,851.340000,,,,
1,88,112,438,851.820000,18915.030000,848.820000,,,,
1,87,112,438,851.820000,19090.720000,848.820000,,,,
1,90,113,438,854.340000,17504.020000,851.340000,,,,
1,86,113,438,851.820000,19237.590000,848.820000,,,,
1,85,113,438,851.820000,25003.810000,848.820000,,,,
1,86,114,438,851.820000,15669.100000,848.820000,,,,
1,85,114,438,851.820000,29943.760000,848.820000,,,,
1,83,114,438,851.820000,22872.010000,848.820000,,,,
1,107,122,438,883.000000,23656.280000,880.000000,,,,
1,111,125,438,894.850000,29776.420000,891.850000,,,,
1,111,126,438,893.000000,25544.470000,890.000000,,,,
1,47,223,439,736.380000,16852.140000,733.380000,,,,
1,53,225,439,734.550000,18634.080000,731.550000,,,,
1,80,211,441,739.130000,23814.040000,736.130000,,,,
1,79,211,441,739.130000,26827.770000,736.130000,,,,
1,78,211,441,739.130000,15611.840000,736.130000,,,,
1,93,212,441,747.000000,22223.880000,744.000000,,,,
1,92,212,441,751.000000,16734.550000,748.000000,,,,
1,82,212,441,739.130000,28851.870000,736.130000,,,,
1,81,212,441,739.130000,27296.980000,736.130000,,,,
1,80,212,441,736.000000,29943.760000,733.000000,,,,
1,79,212,441,735.000000,29943.760000,732.000000,,,,
1,78,212,441,736.000000,29911.640000,733.000000,,,,
1,94,213,441,740.460000,23579.780000,737.460000,,,,
1,93,213,441,740.460000,20378.310000,737.460000,,,,
1,92,213,441,740.460000,19363.000000,737.460000,,,,
1,86,213,441,746.020000,17074.290000,743.020000,,,,
1,83,213,441,739.130000,27983.280000,736.130000,,,,
1,80,213,441,735.000000,27034.820000,732.000000,,,,
1,79,213,441,736.000000,29943.830000,733.000000,,,,
1,78,213,441,736.000000,24422.150000,733.000000,,,,
1,94,214,441,740.460000,29839.810000,737.460000,,,,
1,93,214,441,738.000000,24008.210000,735.000000,,,,
1,92,214,441,740.000000,27633.040000,737.000000,,,,
1,91,214,441,739.000000,21677.100000,736.000000,,,,
