OBJECTID,row,column_,LONG,LAT
177,1,177,-88.30239246,42.4988926
178,1,178,-88.3000666,42.4988699
179,1,179,-88.29774074,42.49884716
180,1,180,-88.29541488,42.49882437
181,1,181,-88.29308903,42.49880153
182,1,182,-88.29076317,42.49877866
183,1,183,-88.28843732,42.49875573
184,1,184,-88.28611147,42.49873277
185,1,185,-88.28378562,42.49870976
186,1,186,-88.28145977,42.49868671
187,1,187,-88.27913393,42.49866361
188,1,188,-88.27680808,42.49864047
189,1,189,-88.27448224,42.49861728
190,1,190,-88.2721564,42.49859405
191,1,191,-88.26983056,42.49857078
192,1,192,-88.26750472,42.49854746
193,1,193,-88.26517889,42.49852409
194,1,194,-88.26285305,42.49850069
195,1,195,-88.26052722,42.49847724
196,1,196,-88.25820139,42.49845374
197,1,197,-88.25587556,42.49843021
198,1,198,-88.25354973,42.49840662
199,1,199,-88.2512239,42.498383
200,1,200,-88.24889807,42.49835933
201,1,201,-88.24657223,42.49833562
202,1,202,-88.2442464,42.49831186
203,1,203,-88.24192057,42.49828806
204,1,204,-88.23959473,42.49826422
205,1,205,-88.2372689,42.49824033
206,1,206,,42.4982164
207,1,207,,42.49819243
208,1,208,,42.49816841
209,1,209,,42.49814434
210,1,210,,42.49812023
211,1,211,,42.49809608
212,1,212,,42.49807189
213,1,213,,42.49804765
214,1,214,,42.49802336
215,1,215,,42.49799904
216,1,216,,42.49797466
217,1,217,,42.49795025
218,1,218,,42.49792579
219,1,219,,42.49790128
220,1,220,,42.49787674
221,1,221,,42.49785214
222,1,222,,42.49782751
223,1,223,,42.49780283
224,1,224,,42.4977781
225,1,225,,42.49775334
